year,month,day,sum_scores_sentiment,num_tweets
2014,5,22,631,468
2014,4,2,1087,743
2014,3,13,737,472
2014,1,6,109,86
2014,5,20,708,462
2014,4,12,7749,4810
2014,3,15,1335,905
2014,1,4,195,127
2014,5,18,883,589
2014,4,14,1868,1284
2014,2,28,1371,883
2014,1,10,244,190
2014,5,16,7911,4978
2014,4,8,572,367
2014,2,26,3503,2490
2014,1,8,434,303
2014,5,30,640,459
2014,4,10,859,604
2014,3,16,1406,1031
2014,2,24,2194,1467
2014,1,14,904,652
2014,5,28,498,354
2014,3,18,1030,712
2014,2,22,800,562
2014,1,12,268,206
2014,5,26,620,413
2014,3,20,2887,1674
2014,2,20,976,662
2014,4,21,1811,1208
2014,5,24,687,492
2014,3,22,1264,909
2014,2,18,775,488
2014,4,23,768,496
2014,5,6,1993,1443
2014,3,24,592,404
2014,2,16,1525,1010
2014,4,17,1139,735
2014,5,4,1391,988
2013,12,30,251,192
2014,3,26,2394,1663
2014,1,19,489,359
2014,4,19,1065,710
2014,5,2,864,591
2014,3,28,1385,946
2014,1,17,2628,1814
2014,6,2,614,460
2014,4,29,1210,856
2014,2,15,1845,1248
2014,3,30,955,679
2014,1,23,374,270
2014,5,14,2369,1552
2014,2,13,2353,1440
2014,1,21,274,178
2014,4,25,973,713
2014,5,12,1218,691
2014,2,11,489,332
2014,3,2,798,514
2014,1,27,2504,1655
2014,4,27,1198,823
2014,5,10,9552,5725
2014,2,9,488,397
2014,3,4,558,354
2014,1,25,254,184
2014,4,5,1037,689
2014,5,8,1874,1324
2014,2,7,377,271
2014,3,6,1555,1029
2014,1,31,546,389
2014,4,7,1286,863
2014,2,5,263,171
2014,3,8,926,626
2014,1,29,1309,872
2014,4,1,2126,1397
2014,2,3,554,421
2014,3,10,2775,1836
2014,1,3,631,449
2014,4,3,1257,854
2014,2,1,336,228
2014,3,12,1108,769
2014,1,1,116,79
2014,5,23,686,466
2014,4,13,1808,1173
2014,3,14,788,525
2014,1,7,463,321
2014,5,21,732,540
2014,4,15,1655,1136
2014,1,5,91,68
2014,5,19,1654,1187
2014,4,9,989,718
2014,2,27,1494,1037
2014,1,11,757,469
2014,5,17,1723,1156
2014,4,11,1591,1170
2014,2,25,3060,2104
2014,1,9,201,153
2014,5,31,1059,802
2014,3,17,1013,718
2014,2,23,1421,997
2014,1,15,502,391
2014,5,29,1001,749
2014,3,19,805,552
2014,2,21,1165,820
2014,1,13,258,212
2014,5,27,437,308
2014,3,21,636,437
2014,2,19,1273,862
2014,4,20,1499,1005
2014,5,25,265,184
2014,3,23,527,372
2014,2,17,2391,1358
2014,4,22,1718,1152
2014,5,7,3124,2192
2014,3,25,1293,925
2014,1,18,532,349
2014,4,16,1423,1014
2014,5,5,1773,1270
2013,12,31,403,286
2014,3,27,1205,906
2014,1,16,1005,719
2014,4,18,803,492
2014,5,3,1803,1330
2013,12,29,40,30
2014,3,29,2443,1698
2014,1,22,352,257
2014,6,1,787,526
2014,4,28,2479,1589
2014,5,1,1056,709
2014,2,14,680,437
2014,3,31,1744,1216
2014,1,20,1091,740
2014,4,30,822,560
2014,5,15,2048,1422
2014,2,12,1323,784
2014,3,1,2369,1579
2014,1,26,228,159
2014,4,24,871,599
2014,5,13,1343,982
2014,2,10,529,387
2014,3,3,575,401
2014,1,24,466,326
2014,4,26,2559,1878
2014,5,11,1080,732
2014,2,8,766,574
2014,3,5,3536,2265
2014,1,30,1130,813
2014,4,4,998,683
2014,5,9,1586,1128
2014,2,6,344,234
2014,3,7,3455,2238
2014,1,28,2363,1558
2014,4,6,1274,913
2014,2,4,459,327
2014,3,9,486,347
2014,1,2,137,100
2014,2,2,327,225
2014,3,11,4068,2601
