year,month,day,sum_scores_sentiment,num_tweets
2014,4,2,1234,872
2013,12,8,146,89
2014,3,13,640,443
2014,1,6,403,283
2014,4,12,1856,1268
2013,12,14,98,76
2014,3,15,1065,700
2014,1,4,462,337
2014,4,14,1280,895
2013,12,12,68,51
2014,2,28,596,415
2014,1,10,568,404
2014,4,8,1193,855
2013,12,18,324,213
2014,2,26,597,401
2014,1,8,395,279
2014,4,10,1622,1128
2013,12,16,236,161
2014,3,16,1280,873
2014,2,24,468,324
2014,1,14,718,484
2013,12,22,753,516
2014,3,18,865,597
2014,2,22,801,551
2014,1,12,911,632
2013,12,20,532,363
2014,3,20,1344,904
2014,2,20,693,482
2014,4,21,2500,1555
2013,12,26,855,592
2014,3,22,675,478
2014,2,18,833,592
2014,4,23,1472,993
2013,12,24,250,186
2014,3,24,950,665
2014,2,16,735,496
2014,4,17,1375,959
2013,12,30,417,279
2014,3,26,1808,1263
2014,1,19,1552,1032
2014,4,19,1237,834
2013,12,28,409,285
2014,3,28,1480,1028
2014,1,17,550,375
2014,2,15,419,285
2014,3,30,1098,781
2014,1,23,984,678
2014,2,13,652,461
2014,1,21,438,303
2014,4,25,1008,717
2014,2,11,899,634
2014,3,2,843,601
2014,1,27,741,512
2013,12,3,489,273
2014,2,9,557,375
2014,3,4,526,352
2014,1,25,732,502
2014,4,5,1106,769
2013,12,1,659,378
2014,2,7,148,104
2014,3,6,647,450
2014,1,31,377,261
2014,4,7,1233,838
2013,12,7,79,55
2014,2,5,293,212
2014,3,8,928,618
2014,1,29,447,305
2014,4,1,1160,800
2013,12,5,150,105
2014,2,3,540,363
2014,3,10,644,447
2014,1,3,788,575
2014,4,3,1242,878
2013,12,11,85,57
2014,2,1,489,333
2014,3,12,699,490
2014,1,1,493,288
2014,4,13,1414,931
2013,12,9,129,86
2014,3,14,913,662
2014,1,7,357,244
2014,4,15,1121,765
2013,12,15,174,123
2014,1,5,835,567
2014,4,9,1394,984
2013,12,13,92,63
2013,11,30,129,72
2014,2,27,896,632
2014,1,11,515,348
2014,4,11,1502,1032
2013,12,19,326,231
2014,2,25,469,337
2014,1,9,680,487
2013,12,17,330,219
2014,3,17,984,641
2014,2,23,680,483
2014,1,15,527,362
2013,12,23,315,216
2014,3,19,885,617
2014,2,21,593,420
2014,1,13,542,383
2013,12,21,334,229
2014,3,21,677,465
2014,2,19,591,403
2014,4,20,1514,984
2014,5,25,1,1
2013,12,27,690,492
2014,3,23,1268,853
2014,2,17,580,415
2014,4,22,2720,1746
2013,12,25,290,190
2014,3,25,1114,791
2014,1,18,493,362
2014,4,16,1529,1061
2013,12,31,395,262
2014,3,27,1445,1023
2014,1,16,336,241
2014,4,18,1303,881
2013,12,29,641,451
2014,3,29,1284,884
2014,1,22,581,407
2014,2,14,551,368
2014,3,31,1143,824
2014,1,20,533,375
2014,2,12,904,616
2014,3,1,481,333
2014,1,26,517,339
2014,4,24,1929,1283
2013,12,2,630,364
2014,2,10,357,250
2014,3,3,750,527
2014,1,24,520,367
2014,2,8,398,292
2014,3,5,822,562
2014,1,30,398,267
2014,4,4,1021,721
2013,12,6,91,68
2014,2,6,119,86
2014,3,7,1120,810
2014,1,28,531,352
2014,4,6,1044,726
2013,12,4,376,210
2014,2,4,476,323
2014,3,9,625,444
2014,1,2,418,297
2013,12,10,124,93
2014,2,2,808,552
2014,3,11,582,404
