tid, sentiment, time
109443817124277276672, 1, {$date=2014-03-12T18:33:42.000Z}
109444322913437503488, 1, {$date=2014-03-14T04:03:32.000Z}
109444683998820704256, 1, {$date=2014-03-15T03:58:21.000Z}
109444841884448333824, 2, {$date=2014-03-15T14:25:44.000Z}
109445150426191912960, 2, {$date=2014-03-16T10:51:46.000Z}
109445203492160827393, 3, {$date=2014-03-16T14:22:38.000Z}
109445467849880903682, 2, {$date=2014-03-17T07:53:06.000Z}
109445774656721522688, 1, {$date=2014-03-18T04:12:14.000Z}
109445955100566388736, 1, {$date=2014-03-18T16:09:16.000Z}
109446280020361629696, 1, {$date=2014-03-19T13:40:22.000Z}
109446549964853108736, 1, {$date=2014-03-20T07:33:02.000Z}
109446576473504112640, 1, {$date=2014-03-20T09:18:22.000Z}
109446660396351778816, 2, {$date=2014-03-20T14:51:51.000Z}
109447026796236902400, 1, {$date=2014-03-21T15:07:48.000Z}
109447337001054769152, 1, {$date=2014-03-22T11:40:26.000Z}
109447572993254768641, 1, {$date=2014-03-23T03:18:11.000Z}
109448028145526906880, 1, {$date=2014-03-24T09:26:48.000Z}
109448402386235555840, 2, {$date=2014-03-25T10:13:54.000Z}
109448525630259605504, 1, {$date=2014-03-25T18:23:38.000Z}
109448738521738539008, 1, {$date=2014-03-26T08:29:35.000Z}
109448775214059360256, 3, {$date=2014-03-26T10:55:23.000Z}
109448831345838403584, 1, {$date=2014-03-26T14:38:26.000Z}
109449136260087439360, 2, {$date=2014-03-27T10:50:03.000Z}
109449375388792152064, 1, {$date=2014-03-28T02:40:16.000Z}
109449489325097381888, 1, {$date=2014-03-28T10:13:00.000Z}
109449751487640391680, 2, {$date=2014-03-29T03:34:45.000Z}
109449829931216670721, 2, {$date=2014-03-29T08:46:27.000Z}
109449891321738584064, 1, {$date=2014-03-29T12:50:24.000Z}
109450105713663438848, 0, {$date=2014-03-30T03:02:19.000Z}
109450311653284773890, 1, {$date=2014-03-30T16:40:39.000Z}
109450585921637736448, 2, {$date=2014-03-31T10:50:29.000Z}
109450695032664649728, 1, {$date=2014-03-31T18:04:03.000Z}
109450870284682158080, 1, {$date=2014-04-01T05:40:27.000Z}
109450992132325519362, 1, {$date=2014-04-01T13:44:38.000Z}
109451067800367276034, 1, {$date=2014-04-01T18:45:18.000Z}
109451360995026292737, 2, {$date=2014-04-02T14:10:21.000Z}
109451624625257324544, 2, {$date=2014-04-03T07:37:56.000Z}
109451780019165995008, 1, {$date=2014-04-03T17:55:24.000Z}
109452138202921316352, 1, {$date=2014-04-04T17:38:42.000Z}
109452400458565304321, 2, {$date=2014-04-05T11:00:49.000Z}
109452742965912272896, 1, {$date=2014-04-06T09:41:49.000Z}
109452861195108622338, 2, {$date=2014-04-06T17:31:37.000Z}
109453086877315117057, 1, {$date=2014-04-07T08:28:24.000Z}
109453329736379289600, 1, {$date=2014-04-08T00:33:26.000Z}
109453837782843015169, 1, {$date=2014-04-09T10:12:13.000Z}
109453995873244938240, 1, {$date=2014-04-09T20:40:25.000Z}
109454307710125629440, 2, {$date=2014-04-10T17:19:33.000Z}
109454559694313373696, 2, {$date=2014-04-11T10:00:51.000Z}
109454681490790445056, 1, {$date=2014-04-11T18:04:49.000Z}
109454863570728017920, 3, {$date=2014-04-12T06:08:20.000Z}
109454897748139991040, 1, {$date=2014-04-12T08:24:09.000Z}
109454916555269079040, 3, {$date=2014-04-12T09:38:53.000Z}
109454943173203464192, 2, {$date=2014-04-12T11:24:39.000Z}
109454961044633317376, 2, {$date=2014-04-12T12:35:40.000Z}
109454979063954685953, 1, {$date=2014-04-12T13:47:16.000Z}
109455004692351709184, 1, {$date=2014-04-12T15:29:06.000Z}
109455016272678621184, 2, {$date=2014-04-12T16:15:07.000Z}
109455055362270302208, 2, {$date=2014-04-12T18:50:27.000Z}
109455221928463052800, 3, {$date=2014-04-13T05:52:20.000Z}
109455319285213458432, 2, {$date=2014-04-13T12:19:11.000Z}
109455611312031014912, 2, {$date=2014-04-14T07:39:36.000Z}
109455696368258924546, 2, {$date=2014-04-14T13:17:35.000Z}
109455862249538613248, 1, {$date=2014-04-15T00:16:44.000Z}
109456034557926457344, 1, {$date=2014-04-15T11:41:25.000Z}
109456164591488102401, 1, {$date=2014-04-15T20:18:08.000Z}
109456342922523181056, 2, {$date=2014-04-16T08:06:45.000Z}
109456533295157628928, 1, {$date=2014-04-16T20:43:14.000Z}
109456815397845876736, 2, {$date=2014-04-17T15:24:12.000Z}
109457124063102521344, 2, {$date=2014-04-18T11:50:44.000Z}
109457484595097636864, 1, {$date=2014-04-19T11:43:21.000Z}
109457785076948819968, 1, {$date=2014-04-20T07:37:22.000Z}
109457915137878282240, 1, {$date=2014-04-20T16:14:11.000Z}
109458126427460620289, 1, {$date=2014-04-21T06:13:46.000Z}
109458230997415260160, 1, {$date=2014-04-21T13:09:17.000Z}
109458473405558161408, 2, {$date=2014-04-22T05:12:32.000Z}
109458591556396535809, 2, {$date=2014-04-22T13:02:01.000Z}
109458779204994486272, 1, {$date=2014-04-23T01:27:40.000Z}
109459165995651706880, 1, {$date=2014-04-24T03:04:38.000Z}
109459415910336311296, 1, {$date=2014-04-24T19:37:43.000Z}
109459730999421583361, 1, {$date=2014-04-25T16:29:46.000Z}
109459954352799879168, 1, {$date=2014-04-26T07:17:17.000Z}
109460018407992066048, 1, {$date=2014-04-26T11:31:49.000Z}
109460068421297000449, 1, {$date=2014-04-26T14:50:33.000Z}
109460249938899636224, 2, {$date=2014-04-27T02:51:51.000Z}
109460397960623161344, 2, {$date=2014-04-27T12:40:02.000Z}
109460696980692664320, 2, {$date=2014-04-28T08:28:14.000Z}
109460789618179596288, 1, {$date=2014-04-28T14:36:20.000Z}
109460859178760691712, 2, {$date=2014-04-28T19:12:45.000Z}
109461045317144559616, 3, {$date=2014-04-29T07:32:24.000Z}
109461247002043359233, 1, {$date=2014-04-29T20:53:49.000Z}
109461573878746054656, 1, {$date=2014-04-30T18:32:42.000Z}
109461837385332834304, 1, {$date=2014-05-01T11:59:47.000Z}
109462231530187001856, 2, {$date=2014-05-02T14:05:59.000Z}
109462496742819115008, 1, {$date=2014-05-03T07:39:50.000Z}
109462585378201812993, 1, {$date=2014-05-03T13:32:03.000Z}
109462730802376097792, 1, {$date=2014-05-03T23:09:55.000Z}
109462944026589536256, 1, {$date=2014-05-04T13:17:11.000Z}
109463168720601227264, 1, {$date=2014-05-05T04:10:02.000Z}
109463280382247329792, 1, {$date=2014-05-05T11:33:45.000Z}
109463383776995713024, 1, {$date=2014-05-05T18:24:36.000Z}
109463608835945402368, 1, {$date=2014-05-06T09:18:54.000Z}
109463659289492467712, 2, {$date=2014-05-06T12:39:23.000Z}
109463861050828267520, 2, {$date=2014-05-07T02:01:07.000Z}
109463932531985747970, 1, {$date=2014-05-07T06:45:09.000Z}
109463983579433664513, 2, {$date=2014-05-07T10:08:00.000Z}
109464042139169468416, 1, {$date=2014-05-07T14:00:42.000Z}
109464142358334816256, 1, {$date=2014-05-07T20:38:56.000Z}
109464318631715676161, 1, {$date=2014-05-08T08:19:23.000Z}
109464444839069638657, 2, {$date=2014-05-08T16:40:53.000Z}
109464664792364371968, 1, {$date=2014-05-09T07:14:54.000Z}
109464800813832237058, 1, {$date=2014-05-09T16:15:24.000Z}
109464973364918878208, 1, {$date=2014-05-10T03:41:03.000Z}
109465012513973616640, 1, {$date=2014-05-10T06:16:37.000Z}
109465042256513499137, 1, {$date=2014-05-10T08:14:48.000Z}
109465070808683917312, 3, {$date=2014-05-10T10:08:16.000Z}
109465106078032998400, 1, {$date=2014-05-10T12:28:24.000Z}
109465174720753565698, 2, {$date=2014-05-10T17:01:10.000Z}
109465178715941392384, 2, {$date=2014-05-10T17:17:03.000Z}
109465183834330259457, 2, {$date=2014-05-10T17:37:23.000Z}
109465190702150713344, 2, {$date=2014-05-10T18:04:40.000Z}
109465201372799844352, 1, {$date=2014-05-10T18:47:04.000Z}
